"StartDevice","EndDevice"
"icr04.par30","par30-0100-0001-01sw"
"ibr02.cle30","ibr02.yto30"
"ibr01.pus20","ibr02.pus20"
"mma01-0100-0001-01sw","rwa02.mma01"
"ch2-0100-0001-01sw","dsm05-0100-0001-01sw"
"icr08.dsm05","ibr03.dsm05"
"icr02.sg2","ibr01.sg2"
"maa01-96cbe-1a","maa01-96cbe-1b"
"cys04-0100-0004-01sw","dsm05-0100-0004-01sw"
"icr02.hkg20","ibr01.hkg20"
"ibr01.hkg31","ibr01.tyo79"
"ibr02.sg2","ibr02.sg3"
"ter01.dxb30","ter02.dxb30"
"icr02.ber20","ber20-0100-0001-01sw"
"osa31-0100-0002-01sw","tyo30-0100-0002-01sw"
"sjc-96cbe-1b","icr02.by21"
"ibr02.tyo79","ibr02.tyo31"
"icr03.par21","ibr01.par21"
"ibr01.lon22","icr02.lon22"
"ch2-0100-0002-01sw","dsm05-0100-0002-01sw"
"icr08.dsm05","dsm05-0100-0003-01sw"
"icr01.dub07","dub07-0100-0002-01sw"
"icr03.par21","par21-0100-0002-01sw"
"ibr02.mrs20","ibr02.par21"
"ier02.par31","icr02.par30"
"ibr02.mma01","ibr02.sto31"
"bl20-0100-0100-01sw","cle02-0100-0001-01sw"
"ibr04.dsm05","ibr01.dsm05"
"ibr02.mrs20","ibr02.sg2"
"cle02-0100-0002-01sw","cle30-0100-0002-01sw"
"icr06.ams06","ams06-0100-0002-01sw"
"ibr02.ch4","ibr02.cle30"
"ibr06.ams06","icr04.ams06"
"icr03.lon24","ier05.lon32"
"phx70-0100-0002-01sw","sn6-0100-0002-01sw"
"ibr02.dub08","ibr02.lon24"
"pdx30-0100-0001-01sw","pdx31-0100-0001-01sw"
"bio70-0100-0002-01sw","par30-0100-0002-01sw"
"osa20-0100-0002-01sw","osa31-0100-0002-01sw"
"gvx01-0100-0001-01sw","rwa04.gvx01"
"yto30-0100-0001-01sw","yto30-0100-0002-01sw"
"zrh21-0100-0001-02sw","zrh20-0100-0002-01sw"
